Claim_ID,Food_ID,Receiver_ID,Status,Timestamp
1,164,908,Pending,03-05-2025
2,353,391,Cancelled,03-11-2025
3,626,492,Completed,3/21/2025 0:59
4,61,933,Cancelled,03-04-2025
5,345,229,Pending,3/14/2025 15:17
6,273,607,Cancelled,03-02-2025
7,735,256,Cancelled,03-07-2025
8,382,900,Pending,03-05-2025
9,278,807,Completed,3/18/2025 2:26
10,669,975,Completed,03-06-2025
11,290,118,Pending,03-04-2025
12,694,739,Completed,03-01-2025
13,951,959,Pending,03-08-2025
14,426,233,Cancelled,03-08-2025
15,684,97,Completed,03-07-2025
16,320,836,Cancelled,03-07-2025
17,465,588,Cancelled,3/15/2025 16:49
18,952,729,Completed,03-09-2025
19,798,399,Pending,3/16/2025 6:32
20,792,88,Completed,03-07-2025
21,281,493,Completed,03-04-2025
22,345,757,Pending,03-09-2025
23,674,526,Completed,03-06-2025
24,594,717,Pending,3/15/2025 0:51
25,371,10,Completed,03-10-2025
26,959,233,Cancelled,3/21/2025 4:34
27,58,487,Completed,3/17/2025 5:07
28,586,189,Pending,3/19/2025 4:15
29,812,769,Pending,3/14/2025 17:09
30,193,228,Pending,03-07-2025
31,937,546,Completed,03-03-2025
32,624,371,Cancelled,3/17/2025 12:57
33,905,386,Cancelled,3/16/2025 14:26
34,713,271,Pending,3/18/2025 1:17
35,190,93,Cancelled,03-09-2025
36,597,562,Pending,3/16/2025 3:41
37,832,920,Cancelled,3/13/2025 3:50
38,757,380,Cancelled,3/18/2025 5:29
39,58,923,Pending,03-12-2025
40,141,789,Pending,03-10-2025
41,415,336,Pending,3/18/2025 4:33
42,886,256,Pending,03-07-2025
43,611,306,Pending,3/16/2025 17:08
44,825,31,Pending,03-09-2025
45,457,569,Completed,3/13/2025 7:07
46,556,412,Cancelled,03-12-2025
47,746,48,Pending,03-07-2025
48,895,373,Pending,03-09-2025
49,190,678,Pending,3/20/2025 13:44
50,251,804,Pending,3/19/2025 13:18
51,543,255,Pending,03-04-2025
52,507,517,Cancelled,3/15/2025 14:58
53,37,449,Completed,03-11-2025
54,534,737,Cancelled,03-06-2025
55,438,601,Completed,03-09-2025
56,690,452,Completed,3/17/2025 14:29
57,225,295,Completed,03-11-2025
58,258,149,Completed,3/13/2025 15:12
59,797,371,Cancelled,03-02-2025
60,390,391,Pending,3/16/2025 15:03
61,990,550,Cancelled,03-08-2025
62,258,678,Pending,3/17/2025 14:07
63,119,279,Pending,03-08-2025
64,771,90,Completed,3/17/2025 13:38
65,424,532,Cancelled,3/15/2025 15:00
66,310,730,Cancelled,03-11-2025
67,486,817,Completed,3/17/2025 17:22
68,526,321,Pending,03-02-2025
69,321,45,Completed,03-10-2025
70,203,479,Completed,3/19/2025 15:41
71,538,897,Cancelled,03-02-2025
72,851,44,Completed,03-04-2025
73,708,222,Pending,03-05-2025
74,487,62,Cancelled,03-02-2025
75,909,161,Cancelled,03-06-2025
76,877,185,Completed,3/13/2025 22:38
77,65,324,Completed,03-04-2025
78,504,151,Completed,3/15/2025 13:41
79,188,795,Cancelled,03-03-2025
80,153,35,Pending,3/21/2025 1:58
81,964,876,Completed,03-03-2025
82,641,638,Pending,03-09-2025
83,805,695,Completed,3/18/2025 19:37
84,925,554,Pending,03-09-2025
85,197,624,Completed,03-01-2025
86,790,425,Cancelled,03-02-2025
87,829,918,Completed,3/13/2025 10:50
88,233,310,Completed,03-03-2025
89,912,632,Cancelled,03-05-2025
90,378,27,Completed,03-04-2025
91,251,373,Completed,3/18/2025 18:10
92,136,65,Pending,03-07-2025
93,600,129,Pending,3/16/2025 11:30
94,505,523,Cancelled,3/19/2025 5:04
95,673,352,Cancelled,03-11-2025
96,937,500,Completed,3/17/2025 7:56
97,381,802,Pending,03-02-2025
98,741,116,Cancelled,3/13/2025 13:30
99,101,995,Completed,03-01-2025
100,101,892,Pending,3/19/2025 19:11
101,16,654,Cancelled,03-07-2025
102,110,772,Completed,3/16/2025 6:03
103,463,423,Completed,03-07-2025
104,882,52,Completed,03-05-2025
105,89,619,Completed,3/15/2025 23:07
106,674,589,Cancelled,03-06-2025
107,374,467,Completed,3/21/2025 0:40
108,786,909,Pending,03-08-2025
109,696,923,Pending,3/15/2025 16:28
110,469,196,Pending,03-01-2025
111,214,723,Pending,3/14/2025 11:40
112,984,970,Pending,03-04-2025
113,913,855,Pending,03-01-2025
114,870,840,Completed,03-06-2025
115,663,957,Pending,03-05-2025
116,162,908,Pending,3/16/2025 17:02
117,864,384,Pending,03-10-2025
118,108,927,Cancelled,03-07-2025
119,56,75,Cancelled,3/18/2025 15:38
120,233,101,Pending,03-10-2025
121,460,560,Completed,3/14/2025 11:44
122,160,292,Cancelled,3/15/2025 0:40
123,715,529,Completed,3/20/2025 13:50
124,252,303,Cancelled,3/20/2025 6:55
125,765,329,Pending,3/18/2025 21:40
126,202,499,Completed,03-11-2025
127,463,865,Completed,03-12-2025
128,589,100,Cancelled,03-10-2025
129,318,555,Pending,03-03-2025
130,660,608,Cancelled,3/13/2025 8:51
131,640,184,Cancelled,03-07-2025
132,640,835,Cancelled,03-06-2025
133,109,866,Pending,03-10-2025
134,650,404,Pending,3/18/2025 0:37
135,256,12,Cancelled,03-06-2025
136,493,3,Pending,3/16/2025 22:58
137,46,548,Completed,03-06-2025
138,648,392,Cancelled,03-02-2025
139,668,831,Completed,03-02-2025
140,548,168,Completed,3/18/2025 1:19
141,149,985,Pending,03-03-2025
142,782,128,Cancelled,3/16/2025 10:00
143,9,936,Completed,03-05-2025
144,457,390,Cancelled,03-12-2025
145,114,695,Pending,3/13/2025 5:28
146,769,420,Completed,03-08-2025
147,795,462,Completed,03-02-2025
148,174,612,Completed,03-10-2025
149,909,763,Cancelled,3/17/2025 15:13
150,991,107,Cancelled,03-03-2025
151,359,419,Completed,03-12-2025
152,797,988,Pending,03-06-2025
153,582,58,Cancelled,03-07-2025
154,495,285,Pending,3/20/2025 12:04
155,413,272,Completed,3/17/2025 8:27
156,870,666,Completed,3/16/2025 5:59
157,557,600,Completed,3/16/2025 14:13
158,297,331,Cancelled,3/15/2025 0:35
159,496,420,Completed,03-12-2025
160,446,566,Completed,3/19/2025 19:48
161,579,901,Pending,3/14/2025 22:58
162,427,337,Completed,3/15/2025 10:31
163,67,302,Cancelled,03-02-2025
164,918,35,Pending,03-04-2025
165,616,254,Pending,03-11-2025
166,19,297,Completed,03-03-2025
167,873,63,Completed,3/20/2025 1:38
168,609,440,Completed,03-01-2025
169,188,353,Completed,03-08-2025
170,157,374,Pending,03-05-2025
171,290,134,Pending,03-02-2025
172,226,140,Cancelled,3/21/2025 2:08
173,504,390,Completed,3/18/2025 6:41
174,277,947,Cancelled,03-03-2025
175,813,745,Pending,03-07-2025
176,35,276,Cancelled,03-12-2025
177,425,96,Cancelled,03-04-2025
178,437,262,Cancelled,03-05-2025
179,787,339,Completed,03-09-2025
180,644,983,Pending,03-05-2025
181,465,996,Pending,3/16/2025 9:20
182,579,342,Pending,3/19/2025 1:41
183,879,382,Cancelled,3/13/2025 12:37
184,80,50,Cancelled,03-02-2025
185,486,585,Pending,3/21/2025 4:05
186,153,475,Pending,03-11-2025
187,381,344,Pending,03-03-2025
188,896,648,Pending,03-11-2025
189,152,45,Completed,3/13/2025 9:32
190,152,550,Pending,3/20/2025 9:21
191,206,448,Completed,03-10-2025
192,335,246,Completed,03-02-2025
193,670,601,Completed,03-03-2025
194,771,726,Cancelled,3/15/2025 9:44
195,40,294,Completed,3/15/2025 20:49
196,111,416,Completed,3/20/2025 19:37
197,418,324,Cancelled,03-03-2025
198,985,495,Completed,03-04-2025
199,913,439,Cancelled,03-09-2025
200,97,350,Completed,03-08-2025
201,671,94,Completed,3/17/2025 19:09
202,415,917,Cancelled,3/18/2025 8:50
203,179,949,Completed,3/16/2025 13:08
204,824,571,Pending,3/18/2025 4:10
205,915,531,Cancelled,3/14/2025 3:27
206,94,747,Completed,03-06-2025
207,937,398,Completed,3/18/2025 16:07
208,166,874,Pending,03-09-2025
209,893,594,Cancelled,03-12-2025
210,813,388,Pending,03-11-2025
211,406,787,Pending,03-02-2025
212,603,382,Completed,03-08-2025
213,227,631,Cancelled,03-09-2025
214,479,893,Pending,03-07-2025
215,33,762,Cancelled,03-08-2025
216,794,685,Pending,3/17/2025 23:16
217,998,590,Completed,03-06-2025
